District Court Judges,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
State and Court,Court Abbreviation,Judge Name,Appointment Year,Appointing President,Partisanship,Birth Year,Age,Years Served,Rule of 80,Eligible for Senior Status,Date Eligibile for Senior Status,Senior Status,Announce Retirement,Confirmation Vote,Chief,Link to Vote,Court Website,Notes
Eastern District of Virginia,VA-E,David J. Novak,2019,Trump,R,1961,62,4,66,No,2037,No,No,,No,,,
Eastern District of Virginia,VA-E,Roderick C. Young,2020,Trump,R,1966,57,3,60,No,2043,No,No,,No,,,
Eastern District of Virginia,VA-E,Patricia Tolliver Giles,2021,Biden,D,1973,50,2,52,No,2051,No,No,,No,,,
Eastern District of Virginia,VA-E,Michael S. Nachmanoff,2021,Biden,D,1968,55,2,57,No,2046,No,No,,No,,,
Eastern District of Virginia,VA-E,Elizabeth Hanes,2022,Biden,D,1978,45,1,46,No,2057,No,No,,No,,,
Eastern District of Virginia,VA-E,Jamar K. Walker,2023,Biden,D,1986,37,0,37,No,2066,No,No,,No,,,
Western District of Virginia,VA-W,Michael F. Urbanski,2011,Obama,D,1956,67,12,79,No,2024,No,Yes,,Yes,,,
Western District of Virginia,VA-W,Elizabeth K. Dillon,2014,Obama,D,1960,63,9,72,No,2031,No,No,,No,,,
Western District of Virginia,VA-W,Thomas T. Cullen,2020,Trump,R,1977,46,3,49,No,2054,No,No,,No,,,
Western District of Virginia,VA-W,Robert S. Ballou,2023,Biden,D,1962,61,0,61,No,2042,No,No,,No,,,
Northern District of Ohio,OH-N,Sara Elizabeth Lioi,2007,G.W. Bush,R,1960,63,16,79,No,2025,No,No,,No,,,
Northern District of Ohio,OH-N,John R. Adams,2003,G.W. Bush,R,1955,68,20,88,Yes,2020,No,No,,Yes,,,
Northern District of Ohio,OH-N,Benita Y. Pearson,2010,Obama,D,1963,60,13,73,No,2030,No,No,,No,,,
Northern District of Ohio,OH-N,Jeffrey J. Helmick,2012,Obama,D,1960,63,11,74,No,2029,No,No,,No,,,
Northern District of Ohio,OH-N,Pamela Barker,2019,Trump,R,1957,66,4,70,No,2033,No,No,,No,,,
Northern District of Ohio,OH-N,James R. Knepp II,2020,Trump,R,1964,59,3,62,No,2041,No,No,,No,,,
Northern District of Ohio,OH-N,J. Philip Calabrese,2020,Trump,R,1971,52,3,55,No,2048,No,No,,No,,,
Northern District of Ohio,OH-N,Charles E. Fleming,2022,Biden,D,1962,61,1,62,No,2041,No,No,,No,,,
Northern District of Ohio,OH-N,David A. Ruiz,2022,Biden,D,1973,50,1,51,No,2052,No,No,,No,,,
Northern District of Ohio,OH-N,Bridget M. Brennan,2022,Biden,D,1974,49,1,50,No,2053,No,No,,No,,,
Southern District of Ohio,OH-S,Algenon L. Marbley,1997,Clinton,D,1954,69,26,95,Yes,2019,No,Yes,,Yes,,,
Southern District of Ohio,OH-S,Edmund A. Sargus Jr.,1996,Clinton,D,1953,70,27,97,Yes,2018,No,No,,No,,,
Southern District of Ohio,OH-S,Michael H. Watson,2004,G.W. Bush,R,1956,67,19,86,Yes,2021,No,No,,No,,,
Southern District of Ohio,OH-S,Sarah D. Morrison,2019,Trump,R,1970,53,4,57,No,2046,No,No,,No,,,
Southern District of Ohio,OH-S,Douglas R. Cole,2019,Trump,R,1964,59,4,63,No,2040,No,No,,No,,,
Southern District of Ohio,OH-S,Matthew W. McFarland,2019,Trump,R,1967,56,4,60,No,2043,No,No,,No,,,
Southern District of Ohio,OH-S,Michael J. Newman,2020,Trump,R,1960,63,3,66,No,2037,No,No,,No,,,
Southern District of Ohio,OH-S,Jeffery P. Hopkins,2022,Biden,D,1960,63,1,64,No,2039,No,No,,No,,,
Eastern District of North Carolina,NC-E,Richard E. Myers II,2019,Trump,R,1967,56,4,60,No,2043,No,No,,Yes,,,
Eastern District of North Carolina,NC-E,Terrence Boyle,1984,Reagan,R,1945,78,39,117,Yes,2010,No,No,,No,,,
Eastern District of North Carolina,NC-E,Louise Flanagan,2003,G.W. Bush,R,1962,61,20,81,No,2027,No,No,,No,,,
Eastern District of North Carolina,NC-E,James C. Dever III,2005,G.W. Bush,R,1962,61,18,79,No,2027,No,No,,No,,,
Middle District of North Carolina,NC-M,Catherine Eagles,2010,Obama,D,1958,65,13,78,No,2025,No,No,,Yes,,,
Middle District of North Carolina,NC-M,William Lindsay Osteen Jr.,2007,G.W. Bush,R,1960,63,16,79,No,2025,No,No,,No,,,
Middle District of North Carolina,NC-M,Thomas D. Schroeder,2008,G.W. Bush,R,1959,64,15,79,No,2024,No,No,,No,,,
Middle District of North Carolina,NC-M,Loretta Copeland Biggs,2014,Obama,D,1954,69,9,78,No,2025,No,No,,No,,,
Western District of North Carolina,NC-W,Martin Karl Reidinger,2007,G.W. Bush,R,1958,65,16,81,No,2023,No,No,,Yes,,,
Western District of North Carolina,NC-W,Frank DeArmon Whitney,2006,G.W. Bush,R,1959,64,17,81,No,2024,No,No,,No,,,
Western District of North Carolina,NC-W,Max O. Cogburn Jr.,2011,Obama,D,1951,72,12,84,Yes,2019,No,Yes,,No,,,
Western District of North Carolina,NC-W,Kenneth D. Bell,2019,Trump,R,1958,65,4,69,No,2034,No,No,,No,,,
Eastern District of Kentucky,KY-E,Danny C. Reeves,2001,G.W. Bush,R,1957,66,22,88,Yes,2022,No,No,,Yes,,,
Eastern District of Kentucky,KY-E,Karen K. Caldwell,2001,G.W. Bush,R,1956,67,22,89,Yes,2021,No,No,,No,,,
Eastern District of Kentucky,KY-E,David L. Bunning,2002,G.W. Bush,R,1966,57,21,78,No,2031,No,No,,No,,,
Eastern District of Kentucky,KY-E,Gregory F. Van Tatenhove,2006,G.W. Bush,R,1960,63,17,80,No,2025,No,No,,No,,,
Eastern District of Kentucky,KY-E,Claria Horn Boom,2018,Trump,R,1969,54,5,59,No,2044,No,No,,No,,,
